,Label,Business climate summary indicator - All sectors - Metropolitan France,Codes
269,1992-06,92.2,A
270,1992-07,88.6,A
271,1992-08,85.3,A
272,1992-09,83.3,A
273,1992-10,83.0,A
274,1992-11,82.3,A
275,1992-12,78.3,A
276,1993-01,78.6,A
277,1993-02,77.6,A
278,1993-03,76.9,A
279,1993-04,80.2,A
280,1993-05,80.4,A
281,1993-06,74.3,A
282,1993-07,79.9,A
283,1993-08,81.7,A
284,1993-09,83.5,A
285,1993-10,84.2,A
286,1993-11,87.8,A
287,1993-12,91.1,A
288,1994-01,92.5,A
289,1994-02,93.5,A
290,1994-03,96.9,A
291,1994-04,98.9,A
292,1994-05,102.2,A
293,1994-06,102.7,A
294,1994-07,103.0,A
295,1994-08,105.9,A
296,1994-09,108.3,A
297,1994-10,108.6,A
298,1994-11,109.2,A
299,1994-12,107.7,A
300,1995-01,108.4,A
301,1995-02,105.9,A
302,1995-03,106.9,A
303,1995-04,105.3,A
304,1995-05,106.5,A
305,1995-06,105.0,A
306,1995-07,105.4,A
307,1995-08,102.2,A
308,1995-09,99.8,A
309,1995-10,97.4,A
310,1995-11,95.0,A
311,1995-12,89.3,A
312,1996-01,90.1,A
313,1996-02,91.3,A
314,1996-03,94.3,A
315,1996-04,94.8,A
316,1996-05,91.5,A
317,1996-06,90.4,A
318,1996-07,89.0,A
319,1996-08,89.5,A
320,1996-09,90.6,A
321,1996-10,90.9,A
322,1996-11,91.9,A
323,1996-12,93.7,A
324,1997-01,97.5,A
325,1997-02,99.9,A
326,1997-03,99.5,A
327,1997-04,98.4,A
328,1997-05,97.0,A
329,1997-06,98.8,A
330,1997-07,98.6,A
331,1997-08,101.4,A
332,1997-09,105.5,A
333,1997-10,102.9,A
334,1997-11,105.9,A
335,1997-12,108.5,A
336,1998-01,107.5,A
337,1998-02,108.8,A
338,1998-03,112.1,A
339,1998-04,109.9,A
340,1998-05,111.7,A
341,1998-06,113.3,A
342,1998-07,111.8,A
343,1998-08,111.0,A
344,1998-09,108.2,A
345,1998-10,105.0,A
346,1998-11,103.5,A
347,1998-12,100.1,A
348,1999-01,101.3,A
349,1999-02,103.0,A
350,1999-03,100.5,A
351,1999-04,103.0,A
352,1999-05,105.5,A
353,1999-06,105.0,A
354,1999-07,107.7,A
355,1999-08,110.9,A
356,1999-09,114.2,A
357,1999-10,116.8,A
358,1999-11,118.6,A
359,1999-12,120.2,A
360,2000-01,115.7,A
361,2000-02,115.8,A
362,2000-03,116.5,A
363,2000-04,115.1,A
364,2000-05,114.7,A
365,2000-06,116.2,A
366,2000-07,116.1,A
367,2000-08,117.3,A
368,2000-09,117.9,A
369,2000-10,116.4,A
370,2000-11,114.5,A
371,2000-12,114.3,A
372,2001-01,112.7,A
373,2001-02,112.6,A
374,2001-03,113.3,A
375,2001-04,108.3,A
376,2001-05,105.8,A
377,2001-06,104.9,A
378,2001-07,103.0,A
379,2001-08,101.6,A
380,2001-09,99.7,A
381,2001-10,96.1,A
382,2001-11,96.0,A
383,2001-12,97.0,A
384,2002-01,98.2,A
385,2002-02,99.3,A
386,2002-03,100.7,A
387,2002-04,103.2,A
388,2002-05,103.6,A
389,2002-06,102.7,A
390,2002-07,100.5,A
391,2002-08,99.4,A
392,2002-09,97.7,A
393,2002-10,96.8,A
