,Label,Consumer price index - Base 2015 - All households - France - Energy,Codes
317,1996-06,59.18,A
318,1996-07,59.07,A
319,1996-08,59.07,A
320,1996-09,59.91,A
321,1996-10,60.84,A
322,1996-11,61.08,A
323,1996-12,61.29,A
324,1997-01,61.77,A
325,1997-02,61.71,A
326,1997-03,61.26,A
327,1997-04,60.77,A
328,1997-05,60.49,A
329,1997-06,60.3,A
330,1997-07,60.07,A
331,1997-08,60.8,A
332,1997-09,60.76,A
333,1997-10,60.88,A
334,1997-11,61.29,A
335,1997-12,61.13,A
336,1998-01,60.87,A
337,1998-02,60.7,A
338,1998-03,60.21,A
339,1998-04,60.08,A
340,1998-05,59.31,A
341,1998-06,58.84,A
342,1998-07,58.58,A
343,1998-08,58.3,A
344,1998-09,58.28,A
345,1998-10,58.42,A
346,1998-11,58.11,A
347,1998-12,57.92,A
348,1999-01,57.37,A
349,1999-02,57.32,A
350,1999-03,57.67,A
351,1999-04,58.68,A
352,1999-05,58.32,A
353,1999-06,58.18,A
354,1999-07,58.94,A
355,1999-08,59.9,A
356,1999-09,60.64,A
357,1999-10,61.12,A
358,1999-11,61.47,A
359,1999-12,63.46,A
360,2000-01,64.19,A
361,2000-02,64.71,A
362,2000-03,65.84,A
363,2000-04,65.06,A
364,2000-05,65.71,A
365,2000-06,66.85,A
366,2000-07,67.26,A
367,2000-08,67.19,A
368,2000-09,70.26,A
369,2000-10,68.66,A
370,2000-11,69.64,A
371,2000-12,68.4,A
372,2001-01,65.1,A
373,2001-02,65.58,A
374,2001-03,65.38,A
375,2001-04,66.07,A
376,2001-05,68.12,A
377,2001-06,68.05,A
378,2001-07,66.76,A
379,2001-08,65.69,A
380,2001-09,66.25,A
381,2001-10,65.41,A
382,2001-11,64.36,A
383,2001-12,63.26,A
384,2002-01,63.25,A
385,2002-02,63.25,A
386,2002-03,63.83,A
387,2002-04,65.34,A
388,2002-05,64.98,A
389,2002-06,64.25,A
390,2002-07,63.87,A
391,2002-08,64.79,A
392,2002-09,65.71,A
393,2002-10,66.26,A
394,2002-11,65.62,A
395,2002-12,65.69,A
396,2003-01,67.1,A
397,2003-02,68.52,A
398,2003-03,69.61,A
399,2003-04,66.76,A
400,2003-05,64.94,A
401,2003-06,64.58,A
402,2003-07,65.26,A
403,2003-08,65.81,A
404,2003-09,65.99,A
405,2003-10,66.03,A
406,2003-11,65.72,A
407,2003-12,65.63,A
408,2004-01,66.33,A
409,2004-02,66.09,A
410,2004-03,67.31,A
411,2004-04,67.77,A
412,2004-05,69.74,A
413,2004-06,69.04,A
414,2004-07,69.14,A
415,2004-08,70.64,A
416,2004-09,70.78,A
417,2004-10,73.01,A
418,2004-11,73.21,A
419,2004-12,72.33,A
420,2005-01,71.02,A
421,2005-02,72.16,A
422,2005-03,74.02,A
423,2005-04,75.32,A
424,2005-05,74.31,A
425,2005-06,75.67,A
426,2005-07,77.79,A
427,2005-08,78.85,A
428,2005-09,81.55,A
429,2005-10,81.67,A
430,2005-11,79.36,A
431,2005-12,78.25,A
432,2006-01,79.6,A
433,2006-02,79.89,A
434,2006-03,80.28,A
435,2006-04,82.23,A
436,2006-05,83.9,A
437,2006-06,83.33,A
438,2006-07,84.04,A
439,2006-08,84.51,A
440,2006-09,82.33,A
