,Label,Monthly economic outlook survey in the building industry - Trend of past activity - Overall - SA series,Codes
291,1994-04,-23.8,A
292,1994-05,-19.8,A
293,1994-06,-16.0,A
294,1994-07,-10.4,A
295,1994-08,-8.6,A
296,1994-09,-6.7,A
297,1994-10,-4.9,A
298,1994-11,-4.6,A
299,1994-12,-5.1,A
300,1995-01,-9.2,A
301,1995-02,-9.7,A
302,1995-03,-11.8,A
303,1995-04,-6.5,A
304,1995-05,-10.0,A
305,1995-06,-10.2,A
306,1995-07,-8.0,A
307,1995-08,-10.1,A
308,1995-09,-12.1,A
309,1995-10,-19.6,A
310,1995-11,-23.0,A
311,1995-12,-33.0,A
312,1996-01,-28.3,A
313,1996-02,-24.2,A
314,1996-03,-34.8,A
315,1996-04,-41.5,A
316,1996-05,-36.3,A
317,1996-06,-33.8,A
318,1996-07,-46.8,A
319,1996-08,-45.0,A
320,1996-09,-43.2,A
321,1996-10,-32.9,A
322,1996-11,-36.5,A
323,1996-12,-27.3,A
324,1997-01,-36.2,A
325,1997-02,-28.4,A
326,1997-03,-24.5,A
327,1997-04,-21.6,A
328,1997-05,-22.7,A
329,1997-06,-18.8,A
330,1997-07,-23.1,A
331,1997-08,-19.0,A
332,1997-09,-15.0,A
333,1997-10,-11.0,A
334,1997-11,-5.1,A
335,1997-12,-4.9,A
336,1998-01,-3.8,A
337,1998-02,0.7,A
338,1998-03,5.6,A
339,1998-04,2.7,A
340,1998-05,7.8,A
341,1998-06,13.7,A
342,1998-07,16.8,A
343,1998-08,18.3,A
344,1998-09,19.7,A
345,1998-10,13.5,A
346,1998-11,16.0,A
347,1998-12,3.1,A
348,1999-01,18.0,A
349,1999-02,12.0,A
350,1999-03,15.2,A
351,1999-04,19.6,A
352,1999-05,18.4,A
353,1999-06,18.0,A
354,1999-07,23.3,A
355,1999-08,24.2,A
356,1999-09,24.8,A
357,1999-10,29.1,A
358,1999-11,28.0,A
359,1999-12,32.4,A
360,2000-01,34.7,A
361,2000-02,33.5,A
362,2000-03,34.8,A
363,2000-04,44.2,A
364,2000-05,35.2,A
365,2000-06,34.9,A
366,2000-07,40.5,A
367,2000-08,40.3,A
368,2000-09,40.3,A
369,2000-10,40.1,A
370,2000-11,40.3,A
371,2000-12,33.3,A
372,2001-01,34.7,A
373,2001-02,34.6,A
374,2001-03,30.3,A
375,2001-04,17.0,A
376,2001-05,19.4,A
377,2001-06,14.2,A
378,2001-07,12.0,A
379,2001-08,6.9,A
380,2001-09,2.4,A
381,2001-10,1.9,A
382,2001-11,-3.0,A
383,2001-12,-1.6,A
384,2002-01,-6.4,A
385,2002-02,-3.2,A
386,2002-03,-0.8,A
387,2002-04,-7.5,A
388,2002-05,-0.1,A
389,2002-06,-0.3,A
390,2002-07,-11.3,A
391,2002-08,-11.1,A
392,2002-09,-9.7,A
393,2002-10,-11.4,A
394,2002-11,-15.4,A
395,2002-12,-19.5,A
396,2003-01,-13.3,A
397,2003-02,-15.3,A
398,2003-03,-18.5,A
399,2003-04,-15.5,A
400,2003-05,-16.9,A
401,2003-06,-15.7,A
402,2003-07,-16.1,A
403,2003-08,-10.4,A
404,2003-09,-3.5,A
405,2003-10,-13.3,A
406,2003-11,-9.6,A
407,2003-12,-5.3,A
408,2004-01,-1.4,A
409,2004-02,1.3,A
410,2004-03,3.1,A
411,2004-04,6.2,A
412,2004-05,6.3,A
413,2004-06,5.8,A
414,2004-07,6.8,A
415,2004-08,6.3,A
416,2004-09,7.0,A
417,2004-10,8.7,A
418,2004-11,13.4,A
419,2004-12,12.1,A
420,2005-01,11.1,A
421,2005-02,11.6,A
422,2005-03,8.4,A
423,2005-04,9.8,A
424,2005-05,9.2,A
425,2005-06,12.6,A
426,2005-07,15.4,A
427,2005-08,14.6,A
428,2005-09,15.4,A
429,2005-10,18.1,A
430,2005-11,19.2,A
431,2005-12,20.2,A
432,2006-01,20.4,A
433,2006-02,13.5,A
434,2006-03,17.6,A
435,2006-04,20.2,A
436,2006-05,21.0,A
437,2006-06,21.4,A
438,2006-07,21.2,A
439,2006-08,20.6,A
440,2006-09,22.7,A
441,2006-10,22.9,A
442,2006-11,20.5,A
443,2006-12,22.0,A
444,2007-01,20.1,A
445,2007-02,19.9,A
446,2007-03,22.6,A
447,2007-04,24.1,A
448,2007-05,22.3,A
449,2007-06,24.9,A
450,2007-07,25.0,A
451,2007-08,20.7,A
452,2007-09,20.6,A
453,2007-10,19.5,A
454,2007-11,21.4,A
455,2007-12,19.2,A
456,2008-01,18.7,A
457,2008-02,18.1,A
458,2008-03,15.7,A
459,2008-04,16.2,A
460,2008-05,9.6,A
461,2008-06,4.9,A
462,2008-07,-0.3,A
463,2008-08,0.3,A
464,2008-09,-0.9,A
465,2008-10,-10.7,A
466,2008-11,-11.4,A
467,2008-12,-21.0,A
468,2009-01,-19.5,A
469,2009-02,-25.8,A
470,2009-03,-24.3,A
471,2009-04,-30.1,A
472,2009-05,-29.2,A
473,2009-06,-33.1,A
474,2009-07,-33.3,A
475,2009-08,-31.2,A
476,2009-09,-28.3,A
477,2009-10,-24.9,A
478,2009-11,-26.2,A
479,2009-12,-26.5,A
480,2010-01,-26.6,A
481,2010-02,-23.7,A
482,2010-03,-26.2,A
483,2010-04,-25.4,A
484,2010-05,-20.7,A
485,2010-06,-17.5,A
486,2010-07,-14.0,A
487,2010-08,-12.7,A
488,2010-09,-13.2,A
489,2010-10,-13.1,A
490,2010-11,-12.8,A
491,2010-12,-7.8,A
492,2011-01,-8.5,A
493,2011-02,-3.8,A
494,2011-03,1.7,A
495,2011-04,8.4,A
496,2011-05,6.1,A
497,2011-06,6.3,A
498,2011-07,8.2,A
499,2011-08,1.5,A
500,2011-09,-0.7,A
501,2011-10,-2.2,A
502,2011-11,-4.3,A
503,2011-12,-4.3,A
504,2012-01,-1.6,A
505,2012-02,-3.8,A
506,2012-03,-5.6,A
507,2012-04,-8.6,A
508,2012-05,-13.4,A
509,2012-06,-13.5,A
510,2012-07,-15.0,A
511,2012-08,-15.2,A
512,2012-09,-15.0,A
513,2012-10,-18.3,A
514,2012-11,-21.2,A
515,2012-12,-20.5,A
516,2013-01,-21.6,A
517,2013-02,-23.3,A
518,2013-03,-23.9,A
519,2013-04,-28.1,A
520,2013-05,-26.7,A
521,2013-06,-26.5,A
522,2013-07,-22.2,A
523,2013-08,-16.7,A
524,2013-09,-13.2,A
525,2013-10,-13.3,A
526,2013-11,-13.0,A
527,2013-12,-20.2,A
528,2014-01,-20.7,A
529,2014-02,-17.4,A
530,2014-03,-17.2,A
531,2014-04,-17.5,A
532,2014-05,-19.0,A
533,2014-06,-18.2,A
534,2014-07,-18.2,A
535,2014-08,-25.0,A
536,2014-09,-29.7,A
537,2014-10,-31.8,A
538,2014-11,-25.3,A
539,2014-12,-23.1,A
540,2015-01,-23.0,A
541,2015-02,-30.3,A
542,2015-03,-27.6,A
543,2015-04,-20.8,A
544,2015-05,-21.7,A
545,2015-06,-19.9,A
546,2015-07,-22.1,A
547,2015-08,-18.1,A
548,2015-09,-16.9,A
549,2015-10,-14.5,A
550,2015-11,-15.3,A
551,2015-12,-11.7,A
552,2016-01,-14.6,A
553,2016-02,-15.2,A
