Label,Monthly economic outlook survey in the building industry - Judgment on the order book level - Overall - SA series,Codes
1993-12-01,-69.7,A
1994-01-01,-67.8,A
1994-02-01,-65.3,A
1994-03-01,-59.5,A
1994-04-01,-56.3,A
1994-05-01,-56.5,A
1994-06-01,-55.0,A
1994-07-01,-53.6,A
1994-08-01,-51.8,A
1994-09-01,-50.0,A
1994-10-01,-48.7,A
1994-11-01,-48.0,A
1994-12-01,-48.9,A
1995-01-01,-52.3,A
1995-02-01,-52.3,A
1995-03-01,-48.1,A
1995-04-01,-43.4,A
1995-05-01,-39.8,A
1995-06-01,-36.4,A
1995-07-01,-39.0,A
1995-08-01,-43.3,A
1995-09-01,-47.5,A
1995-10-01,-52.1,A
1995-11-01,-55.4,A
1995-12-01,-56.5,A
1996-01-01,-57.8,A
1996-02-01,-56.7,A
1996-03-01,-58.1,A
1996-04-01,-63.1,A
1996-05-01,-59.2,A
1996-06-01,-55.4,A
1996-07-01,-54.8,A
1996-08-01,-56.0,A
1996-09-01,-57.2,A
1996-10-01,-62.9,A
1996-11-01,-62.7,A
1996-12-01,-61.0,A
1997-01-01,-55.4,A
1997-02-01,-50.1,A
1997-03-01,-46.1,A
1997-04-01,-55.1,A
1997-05-01,-54.3,A
1997-06-01,-43.6,A
1997-07-01,-45.4,A
1997-08-01,-46.1,A
1997-09-01,-46.7,A
1997-10-01,-43.1,A
1997-11-01,-39.3,A
1997-12-01,-37.5,A
1998-01-01,-41.6,A
1998-02-01,-33.3,A
1998-03-01,-29.2,A
1998-04-01,-33.5,A
1998-05-01,-29.0,A
1998-06-01,-20.6,A
1998-07-01,-9.7,A
1998-08-01,-13.0,A
1998-09-01,-16.4,A
1998-10-01,-24.3,A
1998-11-01,-23.9,A
1998-12-01,-24.3,A
1999-01-01,-24.3,A
1999-02-01,-22.0,A
1999-03-01,-13.0,A
1999-04-01,-9.2,A
1999-05-01,-7.2,A
1999-06-01,-7.4,A
1999-07-01,-2.6,A
1999-08-01,1.6,A
1999-09-01,5.7,A
1999-10-01,8.1,A
1999-11-01,6.4,A
1999-12-01,14.2,A
2000-01-01,20.9,A
2000-02-01,18.1,A
2000-03-01,25.5,A
2000-04-01,29.7,A
2000-05-01,30.5,A
2000-06-01,43.0,A
2000-07-01,45.3,A
2000-08-01,42.9,A
2000-09-01,40.5,A
2000-10-01,40.1,A
2000-11-01,31.6,A
2000-12-01,32.7,A
2001-01-01,32.2,A
2001-02-01,32.7,A
2001-03-01,21.4,A
2001-04-01,27.6,A
2001-05-01,23.1,A
2001-06-01,28.6,A
2001-07-01,20.1,A
2001-08-01,17.7,A
2001-09-01,15.3,A
2001-10-01,8.7,A
2001-11-01,15.1,A
2001-12-01,11.5,A
2002-01-01,6.9,A
2002-02-01,8.6,A
2002-03-01,12.5,A
2002-04-01,10.7,A
2002-05-01,9.6,A
2002-06-01,12.4,A
2002-07-01,14.4,A
2002-08-01,4.3,A
2002-09-01,-5.8,A
2002-10-01,-12.2,A
2002-11-01,-14.3,A
2002-12-01,-13.9,A
2003-01-01,-10.8,A
2003-02-01,-9.7,A
2003-03-01,-11.7,A
2003-04-01,-11.8,A
2003-05-01,-9.6,A
2003-06-01,-14.1,A
2003-07-01,-11.0,A
2003-08-01,-8.1,A
2003-09-01,-5.2,A
2003-10-01,-10.6,A
2003-11-01,1.9,A
2003-12-01,1.7,A
2004-01-01,-2.7,A
2004-02-01,-8.9,A
2004-03-01,-9.0,A
2004-04-01,1.2,A
2004-05-01,-5.5,A
2004-06-01,-14.5,A
2004-07-01,-5.7,A
2004-08-01,-8.2,A
2004-09-01,-10.6,A
2004-10-01,-10.4,A
2004-11-01,-4.9,A
2004-12-01,-8.7,A
2005-01-01,-6.2,A
2005-02-01,-7.1,A
2005-03-01,-9.0,A
2005-04-01,-5.9,A
2005-05-01,-5.1,A
2005-06-01,-1.3,A
2005-07-01,0.7,A
2005-08-01,0.4,A
2005-09-01,0.1,A
2005-10-01,1.6,A
2005-11-01,2.6,A
2005-12-01,0.6,A
2006-01-01,3.5,A
2006-02-01,3.1,A
2006-03-01,2.8,A
2006-04-01,6.1,A
2006-05-01,8.4,A
2006-06-01,7.8,A
2006-07-01,12.8,A
2006-08-01,11.4,A
2006-09-01,10.0,A
2006-10-01,7.1,A
2006-11-01,7.0,A
2006-12-01,11.1,A
2007-01-01,-0.4,A
2007-02-01,-2.3,A
2007-03-01,4.8,A
2007-04-01,0.6,A
2007-05-01,11.1,A
2007-06-01,15.4,A
2007-07-01,18.9,A
2007-08-01,16.5,A
2007-09-01,14.0,A
2007-10-01,9.7,A
2007-11-01,10.3,A
2007-12-01,8.2,A
2008-01-01,7.6,A
2008-02-01,16.3,A
2008-03-01,8.4,A
2008-04-01,3.6,A
2008-05-01,0.2,A
2008-06-01,-3.6,A
2008-07-01,-14.2,A
2008-08-01,-8.0,A
2008-09-01,-14.1,A
2008-10-01,-23.4,A
2008-11-01,-27.8,A
2008-12-01,-37.9,A
2009-01-01,-34.2,A
2009-02-01,-44.0,A
2009-03-01,-34.6,A
2009-04-01,-40.4,A
2009-05-01,-51.0,A
2009-06-01,-42.3,A
2009-07-01,-44.3,A
2009-08-01,-44.4,A
2009-09-01,-45.2,A
2009-10-01,-47.2,A
2009-11-01,-52.3,A
2009-12-01,-49.3,A
2010-01-01,-48.7,A
2010-02-01,-48.2,A
2010-03-01,-50.5,A
2010-04-01,-49.7,A
2010-05-01,-47.2,A
2010-06-01,-46.0,A
2010-07-01,-45.6,A
2010-08-01,-41.5,A
2010-09-01,-43.8,A
2010-10-01,-40.8,A
2010-11-01,-38.4,A
2010-12-01,-35.7,A
2011-01-01,-33.5,A
2011-02-01,-30.2,A
2011-03-01,-33.7,A
2011-04-01,-35.4,A
2011-05-01,-30.7,A
2011-06-01,-30.8,A
2011-07-01,-30.9,A
2011-08-01,-30.3,A
2011-09-01,-33.7,A
2011-10-01,-31.4,A
2011-11-01,-31.4,A
2011-12-01,-29.6,A
2012-01-01,-25.6,A
2012-02-01,-27.5,A
2012-03-01,-26.5,A
2012-04-01,-27.9,A
2012-05-01,-30.7,A
2012-06-01,-34.9,A
2012-07-01,-34.3,A
2012-08-01,-33.2,A
2012-09-01,-36.5,A
2012-10-01,-40.1,A
2012-11-01,-41.3,A
2012-12-01,-40.5,A
2013-01-01,-40.7,A
2013-02-01,-42.0,A
2013-03-01,-45.4,A
2013-04-01,-45.5,A
2013-05-01,-47.2,A
2013-06-01,-47.4,A
2013-07-01,-46.9,A
2013-08-01,-44.0,A
2013-09-01,-42.1,A
2013-10-01,-46.8,A
2013-11-01,-49.1,A
2013-12-01,-49.7,A
2014-01-01,-45.4,A
2014-02-01,-44.5,A
2014-03-01,-42.5,A
2014-04-01,-43.2,A
2014-05-01,-43.9,A
2014-06-01,-47.2,A
2014-07-01,-52.3,A
2014-08-01,-52.1,A
2014-09-01,-53.1,A
2014-10-01,-58.6,A
2014-11-01,-57.8,A
2014-12-01,-58.5,A
2015-01-01,-57.1,A
2015-02-01,-58.5,A
2015-03-01,-57.4,A
2015-04-01,-56.1,A
2015-05-01,-54.5,A
2015-06-01,-56.4,A
2015-07-01,-55.2,A
2015-08-01,-53.0,A
2015-09-01,-51.7,A
2015-10-01,-52.8,A
2015-11-01,-49.2,A
2015-12-01,-51.4,A
2016-01-01,-46.2,A
2016-02-01,-47.1,A
2016-03-01,-47.1,A
2016-04-01,-44.2,A
2016-05-01,-46.4,A
2016-06-01,-45.4,A
2016-07-01,-44.5,A
2016-08-01,-41.1,A
2016-09-01,-37.7,A
2016-10-01,-39.7,A
2016-11-01,-34.2,A
2016-12-01,-38.8,A
2017-01-01,-30.9,A
2017-02-01,-30.0,A
2017-03-01,-32.2,A
2017-04-01,-27.0,A
2017-05-01,-26.6,A
2017-06-01,-24.3,A
2017-07-01,-22.6,A
2017-08-01,-20.6,A
2017-09-01,-22.8,A
2017-10-01,-16.7,A
2017-11-01,-15.8,A
