Label,Monthly economic outlook survey in the building industry - Trend of past activity - Overall - SA series,Codes
2020-01-01,9.2,A
2020-02-01,11.7,A
2020-03-01,17.8,U
2020-04-01,-21.8,U
2020-05-01,-78.1,U
2020-06-01,-78.8,U
2020-07-01,-60.0,U
2020-08-01,-20.9,U
2020-09-01,-4.1,A
2020-10-01,8.1,A
2020-11-01,0.2,U
2020-12-01,-1.5,U
2021-01-01,-2.1,A
2021-02-01,-3.1,A
2021-03-01,2.7,A
2021-04-01,7.7,A
2021-05-01,5.4,A
2021-06-01,16.0,A
2021-07-01,14.6,A
2021-08-01,12.9,A
2021-09-01,11.1,A
2021-10-01,7.3,A
2021-11-01,9.8,A
2021-12-01,11.2,A
2022-01-01,3.8,A
2022-02-01,7.2,A
2022-03-01,12.2,A
2022-04-01,13.4,A
2022-05-01,1.1,A
2022-06-01,9.8,A
2022-07-01,6.8,A
2022-08-01,5.3,A
2022-09-01,4.1,A
2022-10-01,7.4,A
2022-11-01,3.9,A
2022-12-01,7.3,A
